Near-future Sci-Fi;Der Erzählzeitpunkt liegt in unmittelbarer Zukunft, die Technik ist nur wenig verändert und deutet sich in unserer Realität bereits an.
Zeitreisen in Science Fiction;Die Figuren bewegen sich zwischen verschiedenen Zeitebenen.
Fantasy;Die Geschichte spielt nicht in unserer Welt und die geschilderte Welt unterscheidet sich von unserer Welt. In der geschilderten Welt gibt es Dinge und sind Dinge möglich, die wir aus Märchen oder Sagen kennen oder die uns märchenhaft/sagenhaft vorkommen. Meist kämpft die Hauptfigur mit oder gegen fantastische Figuren oder Tiere. Die Hauptfigur ist bedroht und kämpft um ihr Leben oder für das Leben anderer. Auch andere Figuren sind bedroht und am Kampf beteiligt.
High Fantasy;Die Geschichte spielt in einer eigenen, in sich geschlossenen Welt. Im Mittelpunkt der Geschichte steht die Welt, die von einer Gefahr bedroht wird.
Low Fantasy;(auch: Heroic Fantasy, Sword & Sorcery) Das Schicksal der Hauptfiguren steht im Mittelpunkt der Geschichte. Die meist fiktive Welt ist nicht so komplex und detailreich geschildert wie in Büchern der High Fantasy.
Urban Fantasy;Die Geschichte spielt in der realen Welt, in der fantastische Elemente auftauchen.
Funny Fantasy;Humorvolle Geschichten.
Animal Fantasy;(auch: Animal Fiction) Die Hauptfiguren sind Tiere.
Dark Fantasy;Mix aus Horror und Fantasy.
Horror;Geschildert werden angsteinflößende Dinge. Die Wirkung der Geschichte – Angst, Abscheu, Anspannung usw. – steht im Vordergrund. Das Grauen wird realistisch geschildert. Oft sind die angsteinflößenden Dinge übernatürlich.
Gothic Horror;Klassische Horror-Gestalten oder altbekannte Monster stehen im Mittelpunkt wie Frankenstein, Vampire oder Werwölfe.
Paranomaler Horror;Horror-Elemente sind altbekannte übernatürliche Wesen wie Geister, Hexen und Zauberer, der Teufel oder Dämonen.
Graveyard Horror;Ein Friedhof und der Tod spielen eine wesentliche Rolle.
Psychologischer Horror;Das Grauen wird nicht ausführlich beschrieben, sondern durch geschickte Andeutungen der Phantasie der Leser*innen überlassen.
Monster;Die grauenerregenden Kreaturen sind Teil unserer normalen Welt.
Slasher;Geschichten um Teenager, die von bösen Kreaturen oder dem Bösen verfolgt werden.
Splatter;Harter Horror mit viel Körpereinsatz, bei dem die Fetzen fliegen und viel Blut fließt.
